config,instance,run,solutionCosts,optimal,feasible,totalTime,improvement of runtime over runtime without batching,average number of jobs per batch,normalised objective bound,total running time,total setup time,total setup costs,number of too late jobs,number of batches,number of too late jobs (simple bound),integer objective bound,time required for calculation of batch count lower bound,time required for calculation of tardiness lower bound,time required for calculation of setup cost lower bound,solution_method,instance_number,objective
--lB -i,../../instances/83RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.53.json,1,-1,-1,-1,3.63679,1.777777778,1.76056338,0.2921904762,792,0,284,71,142,70,46019,2.45054,0.91487,0.22393,lowerBounds,83,combined objective
--lB -i,../../instances/84RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.59.json,1,-1,-1,-1,6.98825,1.800141243,1.712328767,0.9759366703,7080,0,1450,250,146,250,390654029,2.09746,4.38169,0.45744,lowerBounds,84,combined objective
--lB -i,../../instances/85RandomOvenSchedulingInstance-n250-k2-a2--2212-22.47.02.json,1,-1,-1,-1,4.00219,1.876068376,1.811594203,0.2545777778,702,0,344,61,138,61,40096,2.53129,1.19852,0.22769,lowerBounds,85,combined objective
--lB -i,../../instances/86RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.09.json,1,-1,-1,-1,2.37826,1.901333333,1.824817518,0.9718857143,750,0,36,250,137,250,153072,0.83887,1.04953,0.43961,lowerBounds,86,combined objective
--lB -i,../../instances/87RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.15.json,1,-1,-1,-1,1.90289,4.160349854,4.098360656,0.6496253968,343,0,72,168,61,168,102316,0.94105,0.79071,0.12449,lowerBounds,87,combined objective
--lB -i,../../instances/88RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.19.json,1,-1,-1,-1,4.90405,7.688666667,6.944444444,0.6374311873,1500,0,108,166,36,166,432536900,0.9898,3.75259,0.11762,lowerBounds,88,combined objective
--lB -i,../../instances/89RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.22.json,1,-1,-1,-1,1.61118,6.590697674,7.352941176,0.9578412698,215,0,0,250,34,250,150860,1.00276,0.45844,0.10019,lowerBounds,89,combined objective
--lB -i,../../instances/90RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.28.json,1,-1,-1,-1,8.78241,3.265411401,3.125,0.9645134641,3877,0,360,250,80,250,129124240,0.89358,7.6935,0.1467,lowerBounds,90,combined objective
--lB -i,../../instances/91RandomOvenSchedulingInstance-n250-k5-a2--2212-22.47.34.json,1,-1,-1,-1,5.69337,5.817021277,5.208333333,0.9592253968,235,0,23,250,48,250,151078,3.43957,2.08647,0.11796,lowerBounds,91,combined objective
--lB -i,../../instances/92RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.02.json,1,-1,-1,-1,6.90132,23.6335175,17.85714286,0.8590520784,543,0,192,225,14,225,242729460,4.07656,2.6802,0.09735,lowerBounds,92,combined objective
--lB -i,../../instances/93RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.46.json,1,-1,-1,-1,5.6318,13.24038462,14.70588235,0.7383365079,104,0,36,193,17,193,116287,4.04975,1.43614,0.09951,lowerBounds,93,combined objective
--lB -i,../../instances/94RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.56.json,1,-1,-1,-1,7.18405,1.86823351,1.893939394,0.3107330612,6595,0,204,76,132,76,31403460,3.79016,3.12348,0.21938,lowerBounds,94,combined objective
--lB -i,../../instances/95RandomOvenSchedulingInstance-n250-k5-a2--2212-22.49.14.json,1,-1,-1,-1,5.00477,1.756807013,1.785714286,0.945505224,7529,0,1077,242,140,242,690602925,3.29588,1.2435,0.41197,lowerBounds,95,combined objective
--lB -i,../../instances/96RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.31.json,1,-1,-1,-1,3.98233,1.835092348,1.773049645,0.9726349206,758,0,79,250,141,250,153190,1.49824,1.76933,0.65987,lowerBounds,96,combined objective
--lB -i,../../instances/97RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.40.json,1,-1,-1,-1,4.30596,6.414096916,6.944444444,0.3411936508,227,0,15,88,36,88,53738,1.25828,2.89549,0.10737,lowerBounds,97,combined objective
--lB -i,../../instances/98RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.43.json,1,-1,-1,-1,20.61355,5.565552699,5.681818182,0.9595618462,2334,0,224,250,44,250,196470288,1.46776,18.97007,0.1276,lowerBounds,98,combined objective
--lB -i,../../instances/99RandomOvenSchedulingInstance-n250-k5-a5--2212-22.52.57.json,1,-1,-1,-1,9.82316,1.830792006,1.865671642,0.9735299048,6755,0,369,250,134,250,29388434,1.39083,7.65837,0.72004,lowerBounds,99,combined objective
