config,instance,run,solutionCosts,optimal,feasible,totalTime,improvement of runtime over runtime without batching,average number of jobs per batch,normalised objective bound,total running time,total setup time,total setup costs,number of too late jobs,number of batches,number of too late jobs (simple bound),integer objective bound,time required for calculation of batch count lower bound,time required for calculation of tardiness lower bound,time required for calculation of setup cost lower bound,solution_method,instance_number,objective
--lB -i,../../instances/101RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.34.json,1,-1,-1,-1,20.08461,11.83404255,5.813953488,0.6636698413,235,0,172,346,86,346,209055,16.22026,3.67275,0.14112,lowerBounds,101,combined objective
--lB -i,../../instances/102RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.52.json,1,-1,-1,-1,22.47874,8.676403765,8.196721311,0.9572314437,3081,0,555,500,61,500,322936386,16.4309,5.87129,0.11891,lowerBounds,102,combined objective
--lB -i,../../instances/103RandomOvenSchedulingInstance-n500-k2-a2--2312-08.42.31.json,1,-1,-1,-1,34.58819,1.891873331,1.893939394,0.4839784874,13105,0,1028,243,264,243,64792620,15.15184,18.67404,0.71254,lowerBounds,103,combined objective
--lB -i,../../instances/104RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.18.json,1,-1,-1,-1,18.15394,7.875354108,4.672897196,0.3893777778,353,0,107,201,107,201,122654,15.84329,2.09024,0.17391,lowerBounds,104,combined objective
--lB -i,../../instances/105RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.24.json,1,-1,-1,-1,19.83918,1.909779614,1.872659176,0.9733047619,1452,0,261,500,267,500,306591,16.02435,3.21727,0.5396,lowerBounds,105,combined objective
--lB -i,../../instances/106RandomOvenSchedulingInstance-n500-k2-a5--2312-08.45.54.json,1,-1,-1,-1,14.0853,5.094161959,2.994011976,0.9602984127,531,0,185,500,167,500,302494,2.96786,10.79311,0.26807,lowerBounds,106,combined objective
--lB -i,../../instances/107RandomOvenSchedulingInstance-n500-k2-a5--2312-08.46.41.json,1,-1,-1,-1,7.1112,1.797290481,1.824817518,0.9787459048,13877,0,2740,500,274,500,5138416,3.52148,2.70964,0.81489,lowerBounds,107,combined objective
--lB -i,../../instances/108RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.35.json,1,-1,-1,-1,7.92633,3.298454221,2.577319588,0.4432952381,841,0,37,227,194,227,139638,2.89704,4.47011,0.50885,lowerBounds,108,combined objective
--lB -i,../../instances/109RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.50.json,1,-1,-1,-1,5.47233,8.229102167,6.756756757,0.1826539683,323,0,222,95,74,93,57536,3.76536,1.53476,0.12751,lowerBounds,109,combined objective
--lB -i,../../instances/10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json,1,-1,-1,-1,1.03142,1.610126582,2,0.5984452381,395,0,92,6,5,6,1005388,0.02586,0.02615,0.92883,lowerBounds,10,combined objective
--lB -i,../../instances/110RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.59.json,1,-1,-1,-1,13.99631,1.914256575,1.893939394,0.9733577143,13727,0,1632,500,264,500,67709196,3.45319,9.54616,0.93159,lowerBounds,110,combined objective
--lB -i,../../instances/111RandomOvenSchedulingInstance-n500-k5-a2--0301-10.09.05.json,1,-1,-1,-1,35.21911,1.99496301,2.008032129,0.9761056956,12706,0,3237,500,249,500,237830593,26.65403,7.97111,0.53171,lowerBounds,111,combined objective
