config;instance;run;solutionCosts;optimal;feasible;totalTime;improvement of runtime over runtime without batching;average number of jobs per batch;normalised objective bound;total running time;total setup time;total setup costs;number of too late jobs;number of batches;solution_method;instance_number;objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/71RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json;1;0.9669206349206348;-1;1;-1;-1;-1;-1;204;51;50;100;34;upperBounds;71;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/72RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json;1;0.9697142857142858;-1;1;-1;-1;-1;-1;246;44;36;100;35;upperBounds;72;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/73RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json;1;0.787015873015873;-1;1;-1;-1;-1;-1;439;0;213;79;71;upperBounds;73;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/74RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json;1;0.9823174603174604;-1;1;-1;-1;-1;-1;3399;812;746;100;66;upperBounds;74;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/75RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json;1;0.9616440709617181;-1;1;-1;-1;-1;-1;1082;258;248;100;13;upperBounds;75;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/76RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json;1;0.9781269841269842;-1;1;-1;-1;-1;-1;326;159;53;100;53;upperBounds;76;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/77RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json;1;0.9643809523809523;-1;1;-1;-1;-1;-1;175;37;28;100;24;upperBounds;77;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/78RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json;1;0.5674603174603174;-1;1;-1;-1;-1;-1;338;72;99;57;61;upperBounds;78;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/79RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json;1;0.9806512730806608;-1;1;-1;-1;-1;-1;3233;907;823;100;55;upperBounds;79;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/08RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.9904277643260695;-1;1;-1;-1;-1;-1;486;105;98;10;7;upperBounds;8;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/80RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json;1;0.78592522875817;-1;1;-1;-1;-1;-1;3892;1158;1174;79;69;upperBounds;80;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/81RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.12.json;1;0.8864;-1;1;-1;-1;-1;-1;744;216;216;227;117;upperBounds;81;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/82RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.15.json;1;0.9575746031746031;-1;1;-1;-1;-1;-1;176;38;38;250;19;upperBounds;82;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/83RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.53.json;1;0.9758222222222221;-1;1;-1;-1;-1;-1;998;0;300;248;150;upperBounds;83;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/84RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.59.json;1;0.9825841107457476;-1;1;-1;-1;-1;-1;9067;1204;1879;250;162;upperBounds;84;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/85RandomOvenSchedulingInstance-n250-k2-a2--2212-22.47.02.json;1;0.9649269841269841;-1;1;-1;-1;-1;-1;911;130;366;246;146;upperBounds;85;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/86RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.09.json;1;0.9812444444444445;-1;1;-1;-1;-1;-1;1019;218;235;250;149;upperBounds;86;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/87RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.15.json;1;0.9697904761904762;-1;1;-1;-1;-1;-1;585;204;201;250;70;upperBounds;87;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/88RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.19.json;1;0.956091885419545;-1;1;-1;-1;-1;-1;3219;444;516;248;40;upperBounds;88;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/89RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.22.json;1;0.9603301587301588;-1;1;-1;-1;-1;-1;313;49;0;250;49;upperBounds;89;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/09RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.9955623100303951;-1;1;-1;-1;-1;-1;427;81;189;10;9;upperBounds;9;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/90RandomOvenSchedulingInstance-n250-k2-a5--2212-22.47.28.json;1;0.9725996937441643;-1;1;-1;-1;-1;-1;6310;978;896;250;85;upperBounds;90;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/91RandomOvenSchedulingInstance-n250-k5-a2--2212-22.47.34.json;1;0.965168253968254;-1;1;-1;-1;-1;-1;460;60;29;250;55;upperBounds;91;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/92RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.02.json;1;0.9639213887561714;-1;1;-1;-1;-1;-1;3499;614;777;250;41;upperBounds;92;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/93RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.46.json;1;0.9644571428571429;-1;1;-1;-1;-1;-1;522;207;207;249;80;upperBounds;93;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/94RandomOvenSchedulingInstance-n250-k5-a2--2212-22.48.56.json;1;0.9356116462585033;-1;1;-1;-1;-1;-1;9469;2536;716;237;168;upperBounds;94;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/95RandomOvenSchedulingInstance-n250-k5-a2--2212-22.49.14.json;1;0.9822976596928079;-1;1;-1;-1;-1;-1;9329;2581;1706;250;163;upperBounds;95;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/96RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.31.json;1;0.9820190476190476;-1;1;-1;-1;-1;-1;981;403;372;250;158;upperBounds;96;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/97RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.40.json;1;0.7177015873015874;-1;1;-1;-1;-1;-1;982;252;255;181;158;upperBounds;97;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/98RandomOvenSchedulingInstance-n250-k5-a5--2212-22.49.43.json;1;0.9712795897435897;-1;1;-1;-1;-1;-1;5938;665;983;250;77;upperBounds;98;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/99RandomOvenSchedulingInstance-n250-k5-a5--2212-22.52.57.json;1;0.9822019047619047;-1;1;-1;-1;-1;-1;8880;1720;1810;250;155;upperBounds;99;combined objective
