config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/21_warm_start_21RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0.000272109;15;1;1;132;26;15;19;8.7;8.86;0.000272109;15;55125;singleobj-opl-reprjob-LB-WS-noUB;21;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn;1;0.923936508;14552;1;1;38;0;24;4;1.2577;2.60271;0.000253968;4;15750;singleobj-mzn-gurobi-LB-noUB;22;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn ../../instancesUC1withLB/mzn/warmstart/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.962920635;15166;1;1;40;3;25;4;0.9904;1.815746;0.000253968;4;15750;singleobj-mzn-gurobiWS-LB-noUB;22;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/22_oven_scheduling.cpoptimizer_instance_1212-10.33.15.dat;1;0.000253968;4;1;1;38;0;24;4;0.13;0.31;0.000253968;4;15750;singleobj-opl-reprjob-LB-noUB;22;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0.000253968;4;1;1;38;3;24;4;0.02;0.15;0.000253968;4;15750;singleobj-opl-reprjob-LB-WS-noUB;22;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn;1;0.923936508;14552;1;1;38;0;24;4;1.1575;2.16601;0.002412698;38;15750;singleobj-mzn-gurobi-LB-noUB;22;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn ../../instancesUC1withLB/mzn/warmstart/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.962412698;15158;1;1;38;3;25;4;2.4103;3.218774;0.002412698;38;15750;singleobj-mzn-gurobiWS-LB-noUB;22;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/22_oven_scheduling.cpoptimizer_instance_1212-10.33.15.dat;1;0.002412698;38;1;1;38;3;25;4;0.15;0.29;0.002412698;38;15750;singleobj-opl-reprjob-LB-noUB;22;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/22_warm_start_22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0.002412698;38;1;1;38;3;24;4;0.21;0.35;0.002412698;38;15750;singleobj-opl-reprjob-LB-WS-noUB;22;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/22_oven_scheduling.minizinc_instance_1212-10.33.15.dzn;1;0.923936508;14552;1;1;38;0;24;4;1.1398;1.953673;0;0;15750;singleobj-mzn-gurobi-LB-noUB;22;setupcosts
